"INGREDIENTECOMPOSTO","INGREDIENTEORIGINAL"
"Raisin Bread","Black raisin"
"Raisin Bread","Raisin bread"
"Raisin Bread","White bread"
"Ranch Dressing","Chives"
"Ranch Dressing","Cream"
"Ranch Dressing","Dill"
"Ranch Dressing","Garden onion"
"Ranch Dressing","Garlic"
"Ranch Dressing","Mayonnaise"
"Ranch Dressing","Parsley"
"Ranch Dressing","Pepper"
"Ranch Dressing","Salt"
"Rasam Powder","Chili"
"Rasam Powder","Coriander"
"Rasam Powder","Cumin"
"Rasam Powder","Pepper (Spice)"
"Rasam Powder","Pigeon pea"
"Rasam Powder","Plant"
"Rice Cake","Cooking oil"
"Rice Cake","Flour"
"Rice Cake","Rice"
"Rice Cake","Wheat"
"Salad Creme","Cooking oil"
"Salad Creme","Eggs"
"Salad Creme","Vinegar"
"Salad Creme","Water"
"Salmon","Atlantic salmon"
"Salmon","Chinook salmon"
"Salmon","Chum salmon"
"Salmon","Cisco"
"Salmon","Coho salmon"
"Salmon","Pink salmon"
"Salmon","Salmon"
"Salmon","Salmonidae (Salmon, Trout)"
"Salmon","Sockeye salmon"
"Salt-Pepper","Pepper"
"Salt-Pepper","Salt"
"Sambar Powder","Chickpea"
"Sambar Powder","Chili"
"Sambar Powder","Coriander"
"Sambar Powder","Cumin"
"Sambar Powder","Fenugreek"
"Sambar Powder","Ginger"
"Sambar Powder","Pepper (Spice)"
"Sambar Powder","Pigeon pea"
"Sambar Powder","Turmeric"
"Seal","Bearded seal"
"Seal","Ringed seal"
"Seal","Seal"
"Seal","Spotted seal"
"Self Rising Flour","Flour"
"Self Rising Flour","Leavening agent"
"Self Rising Flour","Salt"
"Spinach Fettuccine","Eggs"
"Spinach Fettuccine","Flour"
"Spinach Fettuccine","Spinach"
"Spinach Fettuccine","Wheat"
"Sponge Cake","Butter"
"Sponge Cake","Eggs"
"Sponge Cake","Flour"
"Sponge Cake","Leavening agent"
"Sponge Cake","Sugar"
"Sponge Cake","Wheat"
"Tahini","Olive"
"Tahini","Sesame"
"Tandoori Masala","Cardamom"
"Tandoori Masala","Cinnamon"
"Tandoori Masala","Cloves"
"Tandoori Masala","Coriander"
"Tandoori Masala","Cumin"
"Tandoori Masala","Fenugreek"
"Tandoori Masala","Garlic"
"Tandoori Masala","Ginger"
"Tandoori Masala","Nutmeg"
"Tandoori Masala","Pepper (Spice)"
"Tandoori Paste","Cardamom"
"Tandoori Paste","Cinnamon"
"Tandoori Paste","Cloves"
"Tandoori Paste","Coriander"
"Tandoori Paste","Cumin"
"Tandoori Paste","Fenugreek"
"Tandoori Paste","Garlic"
"Tandoori Paste","Ginger"
"Tandoori Paste","Lime"
"Tandoori Paste","Nutmeg"
"Tandoori Paste","Pepper (Spice)"
"Tandoori Paste","Yogurt"
"Tart Shell","Butter"
"Tart Shell","Flour"
"Tart Shell","Salt"
"Tart Shell","Shortening"
"Tart Shell","Sugar"
"Tart Shell","Water"
"Tart Shell","Wheat"
"Tomato Paste","Garden tomato"
"Tomato Puree","Garden tomato"
"Trout","Lake trout"
"Trout","Rainbow trout"
"Trout","Sea trout"
"Tuna","Albacore tuna"
"Tuna","Northern bluefin tuna"
"Tuna","Tuna"
"Tuna","Yellowfin tuna"
"Vegetable Broth","Carrot"
"Vegetable Broth","Common sage"
