"ID","NOME","TIPO"
"718","3-Acetyl-2,5-dimethylfuran","Compound"
"722","Hydroxy-alpha-sanshool","Compound"
"723","N5-Hexanoylspermidine","Compound"
"727","Diethyl disulfide","Compound"
"728","Diethyl malonate","Compound"
"730","(-)-trans-2,5-Diethyltetrahydrofuran","Compound"
"734","Diisopropyl disulfide","Compound"
"736","3-Methyl-2-butenoic acid","Compound"
"738","(2E,4E)-2,4-Hexadienoic acid","Compound"
"739","Methyl sorbate","Compound"
"740","Lycopersiconol","Compound"
"741","2-Pyrrolidinone","Compound"
"742","Gossypol","Compound"
"744","Methyl 10-undecenoate","Compound"
"746","Lansiol","Compound"
"747","Sodium calcium edetate","Compound"
"748","Edetate disodium","Compound"
"749","Edetate trisodium","Compound"
"750","Edetate sodium","Compound"
"751","Triacetin","Compound"
"753","Ethanol","Compound"
"754","Ethylene","Compound"
"755","2-Methylpropane","Compound"
"756","Glycerol","Compound"
"757","Nonane","Compound"
"758","Octane","Compound"
"759","Butane","Compound"
"760","Chloroform","Compound"
"761","Cyclohexane","Compound"
"764","Dimethyl sulfoxide","Compound"
"765","Hexane","Compound"
"768","Pentane","Compound"
"770","Lubiminol","Compound"
"771","Ginkgolide J","Compound"
"772","Lucyoside O","Compound"
"773","Stigmastentriol","Compound"
"774","Tiglic acid","Compound"
"775","Angelic acid","Compound"
"776","5-Methyl-2(3H)-furanone","Compound"
"778","Asparagusic acid","Compound"
"779","Asparagusic acid syn-S-oxide","Compound"
"780","Asparagusic acid anti-S-oxide","Compound"
"781","9-Azabicyclo[3.3.1]nonan-3-one","Compound"
"783","(S)-2-Azetidinecarboxylic acid","Compound"
"784","Diazenedicarboxamide","Compound"
"787","L-Asparagine","Compound"
"788","Macrophorin D","Compound"
"790","Tricetin","Compound"
"791","Lucyoside Q","Compound"
"793","Torvoside C","Compound"
"794","Torvoside D","Compound"
"795","3-O-Protocatechuoylceanothic acid","Compound"
"796","5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B","Compound"
"801","Chalconaringenin","Compound"
"802","Oleyl alcohol","Compound"
"803","Phenylmethanethiol","Compound"
"804","2-Methylbenzenethiol","Compound"
"806","2-Methylbenzaldehyde","Compound"
"807","3-Methylbenzaldehyde","Compound"
"808","4-Methylbenzaldehyde","Compound"
"809","(4-Methylphenyl)acetaldehyde","Compound"
"810","3-(4-Methylphenyl)-2-propenal","Compound"
"811","1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one","Compound"
"812","p-Mentha-1,3,5,8-tetraene","Compound"
"816","Xanthoxylin","Compound"
"817","2',6'-Dihydroxy-4'-methoxyacetophenone","Compound"
"819","2,4,5-Trimethoxybenzaldehyde","Compound"
"820","Gallaldehyde","Compound"
"821","3,5-Dihydroxy-4-methoxybenzaldehyde","Compound"
"822","4-Hydroxy-3,5-dimethoxybenzaldehyde","Compound"
"823","2,4,6-Trihydroxybenzoic acid","Compound"
"826","2-(4-Methylphenyl)-2-propanol","Compound"
"827","1-(1-Methoxy-1-methylethyl)-4-methylbenzene","Compound"
"828","3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol","Compound"
"829","Erinacine G","Compound"
"830","Erinacine E","Compound"
"831","2,4'-Dihydroxyacetophenone","Compound"
"832","2',3'-Dihydroxyacetophenone","Compound"
"833","2',4'-Dihydroxyacetophenone","Compound"
"834","2',6'-Dihydroxyacetophenone","Compound"
"836","Zierin","Compound"
"838","Vanillin","Compound"
"839","Vanillin acetate","Compound"
"840","Vanilloside","Compound"
"841","Ethyl vanillin","Compound"
"842","2,4-Dihydroxybenzoic acid","Compound"
"843","2-Hydroxy-4-methoxybenzoic acid","Compound"
"844","Gentisic acid","Compound"
"845","2,6-Dihydroxybenzoic acid","Compound"
"846","Vanillic acid","Compound"
"848","3,5-Dihydroxybenzoic acid","Compound"
"849","Phloretic acid","Compound"
"850","2,3,6-Trimethylphenol","Compound"
"855","1,4-Dimethoxybenzene","Compound"
"857","2-Methoxy-4-vinylphenol","Compound"
"858","2,6-Dimethoxy-1,4-benzoquinone","Compound"
"860","2,6-Di-tert-butyl-1,4-benzoquinone","Compound"
"861","Diosmetin","Compound"
"865","2,6-Dimethoxy-4-methylphenol","Compound"
"867","(+)-Asarinin","Compound"
"869","2-Hydroxy-6-pentadecylbenzoic acid","Compound"
"872","4-Methoxybenzaldehyde","Compound"
"874","2-Ethoxynaphthalene","Compound"
"875","2-Naphthalenethiol","Compound"
"876","Octacosanal","Compound"
"877","2-Naphthol","Compound"
"878","Wine lactone","Compound"
"880","Sodium lactate","Compound"
"883","S-Methyl benzenecarbothioate","Compound"
"884","Hexacosanal","Compound"
"885","Hydroquinone","Compound"
"886","Mequinol","Compound"
"887","Cinnamyl alcohol","Compound"
"888","trans-Cinnamyl alcohol","Compound"
"889","Cinnamyl acetate","Compound"
"892","Erythrosine","Compound"
"893","Phenol","Compound"
"894","Acetylsalicylic acid","Compound"
"896","Anthranilic acid","Compound"
"897","Methyl anthranilate","Compound"
"898","1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one","Compound"
"899","(±)-Leucine","Compound"
"900","2-Amino-3-methylimidazo[4,5-f]quinoline","Compound"
"901","2-Amino-3,4-dimethylimidazo[4,5-f]quinoline","Compound"
"904","(R)-2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-glucoside","Compound"
"906","Thiabendazole","Compound"
"907","Thiazole","Compound"
"908","4,5-Dihydro-1-benzoxepin-3(2H)-one","Compound"
"911","2-Thiophenecarboxaldehyde","Compound"
"912","Thiophene","Compound"
"914","2-Thiophenethiol","Compound"
"917","Tryptamine","Compound"
"918","Saccharin","Compound"
"919","Saccharin sodium","Compound"
"920","Saccharin calcium","Compound"
"921","Urocanic acid","Compound"
"923","5-Ethyl-2,3-dimethylpyrazine","Compound"
"925","5-Ethyl-2-methylpyridine","Compound"
"926","2-Ethyl-4-methylthiazole","Compound"
"927","4-Ethyl-2-methylthiazole","Compound"
"929","2-Ethyl-5-methylthiophene","Compound"
"930","3-Ethylpyridine","Compound"
"934","1H-Indole-3-carboxaldehyde","Compound"
"935","Indole-beta-carboxylic acid","Compound"
"936","Indole-3-methyl acetate","Compound"
"937","1H-Indole-3-acetamide","Compound"
"938","3-(1H-Indol-3-yl)-2-propenoic acid","Compound"
"939","1H-Indole-3-methanol","Compound"
"940","1H-Indole-3-methanamine","Compound"
"941","1H-Indole-3-propanoic acid","Compound"
"952","Methyl 2-furoate","Compound"
"953","Menadione","Compound"
"954","Naphthalene","Compound"
"955","Dantron","Compound"
"956","Frusemide","Compound"
"957","Furazolidone","Compound"
"958","Procyanidin B1","Compound"
"961","4-Hydroxybenzeneacetonitrile","Compound"
"962","Skimmin","Compound"
"963","Herniarin","Compound"
"964","2-Acetyl-1-ethylpyrrole","Compound"
"965","1,1-Diethoxy-2-hexene","Compound"
"966","Ethyl (±)-2-methyl-4-pentenoate","Compound"
"967","Methyl (±)-2-Methylbutanoate","Compound"
"968","Pentyl pentanoate","Compound"
"969","Allyl nonanoate","Compound"
"970","N-Acetyl-L-serine","Compound"
"971","Propylene glycol stearate","Compound"
"972","9-Pentadecenoic acid","Compound"
"974","Saringosterol 3-glucoside","Compound"
"975","Isofucosterol glucoside","Compound"
"976","Isoeruboside B","Compound"
"979","6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-glucoside","Compound"
"980","6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]","Compound"
"984","Cymorcin monoglucoside","Compound"
"986","2-O-Protocatechuoylalphitolic acid","Compound"
"987","2alpha-Hydroxypyracrenic acid","Compound"
"989","6-Epi-7-isocucurbic acid glucoside","Compound"
"990","Mono-trans-p-coumaroylmesotartaric acid","Compound"
"991","Unshuoside A","Compound"
"992","Protoisoeruboside B","Compound"
"1000","Dieporeticanin","Compound"
"1003","Montecristin","Compound"
"1004","(Z)-13-Oxo-9-octadecenoic acid","Compound"
"1005","(Z)-15-Oxo-11-eicosenoic acid","Compound"
"1006","Diisodityrosine","Compound"
"1007","(E)-2-Tetracosenoic acid","Compound"
"1008","Mangiferic acid","Compound"
"1009","8-Dotriacontenoic acid","Compound"
"1011","Pentasine","Compound"
"1012","Momordol","Compound"
"1014","Nicotinic acid","Compound"
"1015","Methyl nicotinate","Compound"
"1016","Ethyl nicotinate","Compound"
"1018","Etidronic acid","Compound"
"1022","Ethyl hexadecanoate","Compound"
"1026","Doristerol","Compound"
"1028","Ethyl salicylate","Compound"
"1029","Benzyl salicylate","Compound"
"1030","2-Phenylethyl beta-D-glucopyranoside","Compound"
"1031","2,6-Diisopropyl-3-methylphenol","Compound"
"1032","2,5-Diisopropyl-4-methylphenol","Compound"
"1033","2,5-Diisopropyl-3-methylphenol","Compound"
"1034","2,4-Diisopropyl-5-methylphenol","Compound"
"1036","2,3-Diisopropyl-5-methylphenol","Compound"
"1037","4-Aminobenzoic acid","Compound"
"1044","L-Malic acid","Compound"
"1046","Ractopamine hydrochloride","Compound"
"1053","Harmalol","Compound"
"1054","Ascorbigen","Compound"
"1055","Vulgaxanthin I","Compound"
"1056","Vulgaxanthin II","Compound"
"1057","Betalamic acid","Compound"
"1060","Glycyrrhizin","Compound"
"1061","Glyciram","Compound"
"1062","Cellulase","Compound"
"1066","Nonivamide","Compound"
"1067","7,7',8,8'-Tetrahydro-beta,beta-carotene","Compound"
"1068","(-)-trans-Carveol glucoside","Compound"
"1069","(+)-trans-Carveol glucoside","Compound"
"1070","D-Citronellol glucoside","Compound"
"1072","27-Deoxy-5alpha-cyprinol","Compound"
"1073","Methylgingerol","Compound"
"1074","1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene","Compound"
"1075","1,2-Epoxy-1,2,7,7',8,8',11',12'-octahydro-psi,psi-carotene","Compound"
"1076","Cochineal Red A","Compound"
"1077","(R)-alpha-Terpinyl glucoside","Compound"
"1079","Cryptochrome","Compound"
"1081","Methyl (xi)-3-nonenoate","Compound"
"1083","Bromelains","Compound"
"1084","Pancreatin","Compound"
"1087","Palmidrol","Compound"
"1088","(E)-2-Octenoic acid","Compound"
"1089","(S)-N-Acetylmethionine","Compound"
"1092","(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol","Compound"
"1093","2-Amino-3,8-dimethyl-3H-imidazo[4,5-f]quinoxaline","Compound"
"1094","Umbelliferone","Compound"
"1096","Isoelemicin","Compound"
"1097","Mangostanol","Compound"
"1100","Sanguiin H4","Compound"
"1104","Tigloidine","Compound"
"1105","Paucine","Compound"
"1106","Pancrelipase","Compound"
"1108","(S)-[6]-Gingerol","Compound"
"1109","D-Tagatose","Compound"
"1110","D-Tartaric acid","Compound"
"1111","Chinese tannin","Compound"
"1112","Tartaric acid","Compound"
"1113","L-Tartaric acid","Compound"
"1114","alpha,alpha-Trehalose","Compound"
"1115","Neotrehalose","Compound"
"1116","D-Glucaric acid","Compound"
"1117","Sakebiose","Compound"
"1118","Sambubiose","Compound"
"1119","2-C-Methyl-1,4-erythrono-D-lactone","Compound"
"1120","Sorbitan laurate","Compound"
